"","Model number","Model name","Term","Estimate","Std. error","Lower 95% CI","Upper 95% CI"
"152","  ","  ","b_PC2",-0.065,0.047,-0.154,0.026
"153","  ","  ","sigma",0.286,0.035,0.228,0.363
"154","155","Relative range change - PC1 variation","b_Intercept",-0.024,0.046,-0.115,0.066
"155","  ","  ","b_PC1",0.05,0.039,-0.025,0.126
"156","  ","  ","sigma",0.29,0.035,0.231,0.369
"157","156","PC1 variation - Category","b_Intercept",-0.167,0.312,-0.776,0.45
"158","  ","  ","b_category.absNochange",0.316,0.582,-0.823,1.459
"159","  ","  ","b_category.absWinner",0.276,0.449,-0.598,1.173
"160","  ","  ","sigma",1.284,0.156,1.022,1.636
"161","157","PC2 variation - Category","b_Intercept",0.139,0.252,-0.356,0.632
"162","  ","  ","b_category.absNochange",-0.398,0.472,-1.331,0.533
"163","  ","  ","b_category.absWinner",-0.182,0.366,-0.906,0.513
"164","  ","  ","sigma",1.034,0.127,0.823,1.315
"165","158","Cover change - PC1+PC2 values","b_Intercept",-0.034,0.043,-0.119,0.051
"166","  ","  ","b_PC1",0.015,0.04,-0.065,0.095
"167","  ","  ","b_PC2",-0.043,0.044,-0.13,0.045
"168","  ","  ","sigma",0.234,0.034,0.179,0.311
"169","159","PC1 values - Cover Category","b_Intercept",-0.411,0.456,-1.324,0.486
"170","  ","  ","b_CoverCategory.xNochange",0.474,0.557,-0.6,1.588
"171","  ","  ","b_CoverCategory.xWinner",0.617,0.607,-0.553,1.827
"172","  ","  ","sigma",1.185,0.175,0.902,1.588
"173","160","PC2 values - Cover Category","b_Intercept",-0.263,0.393,-1.041,0.5
"174","  ","  ","b_CoverCategory.xNochange",0.517,0.481,-0.43,1.454
"175","  ","  ","b_CoverCategory.xWinner",0.077,0.524,-0.945,1.095
"176","  ","  ","sigma",1.041,0.15,0.804,1.374
"177","161","Cover change - PC1+PC2 variation","b_Intercept",-0.033,0.043,-0.117,0.049
"178","  ","  ","b_PC1",-0.02,0.034,-0.086,0.047
"179","  ","  ","b_PC2",-0.059,0.045,-0.147,0.032
"180","  ","  ","sigma",0.23,0.033,0.175,0.304
"181","162","PC1 variation - Cover Category","b_Intercept",0.722,0.507,-0.258,1.71
"182","  ","  ","b_CoverCategory.xNochange",-0.962,0.616,-2.194,0.247
"183","  ","  ","b_CoverCategory.xWinner",-0.914,0.666,-2.229,0.392
"184","  ","  ","sigma",1.34,0.193,1.029,1.771
"185","163","PC2 variation - Cover Category","b_Intercept",0.161,0.387,-0.623,0.907
"186","  ","  ","b_CoverCategory.xNochange",-0.149,0.478,-1.09,0.802
"187","  ","  ","b_CoverCategory.xWinner",-0.306,0.522,-1.337,0.747
"188","  ","  ","sigma",1.014,0.147,0.772,1.345
"189","164","Median absolute range shift - Seed variation LimDisp","b_Intercept",-0.055,0.076,-0.204,0.093
"190","  ","  ","b_LogTraitMedianValue",-0.019,0.028,-0.076,0.037
"191","  ","  ","sigma",0.332,0.05,0.252,0.449
"192","165","Median absolute range shift - Seed variation UnlimDisp","b_Intercept",-0.092,0.103,-0.297,0.111
"193","  ","  ","b_LogTraitMedianValue",-0.017,0.04,-0.094,0.062
"194","  ","  ","sigma",0.462,0.067,0.353,0.611
"195","166","Median absolute range shift - Height variation LimDisp","b_Intercept",0.095,0.079,-0.06,0.248
"196","  ","  ","b_LogTraitMedianValue",0.041,0.033,-0.026,0.105
"197","  ","  ","sigma",0.309,0.031,0.255,0.376
"198","167","Median absolute range shift - Height variation UnlimDisp","b_Intercept",0.084,0.114,-0.142,0.302
"199","  ","  ","b_LogTraitMedianValue",0.03,0.047,-0.063,0.12
"200","  ","  ","sigma",0.445,0.045,0.367,0.54
"201","168","Median absolute range shift - Height values UnlimDispWeight","b_Intercept",0.058,0.125,-0.193,0.303
"202","  ","  ","b_LogTraitMedianValue",0.018,0.051,-0.083,0.117
"203","  ","  ","sigma",0.454,0.049,0.371,0.561
"204","169","Median absolute range shift - SLA values UnlimDispWeight","b_Intercept",0.131,0.35,-0.543,0.837
"205","  ","  ","b_LogTraitMedianValue",-0.055,0.14,-0.335,0.217
"206","  ","  ","sigma",0.438,0.043,0.363,0.531
"207","170","Median absolute range shift - SeedMass values UnlimDispWeight","b_Intercept",-0.053,0.105,-0.263,0.155
"208","  ","  ","b_LogTraitMedianValue",-0.021,0.041,-0.103,0.059
"209","  ","  ","sigma",0.46,0.067,0.351,0.611
"210","171","Median absolute range shift - Height variation UnlimDispWeight","b_Intercept",-0.079,0.201,-0.473,0.319
"211","  ","  ","b_LogTraitValueSD",0.175,0.332,-0.473,0.824
"212","  ","  ","sigma",0.452,0.047,0.372,0.555
"213","172","Median absolute range shift - SLA variation UnlimDispWeight","b_Intercept",-0.01,0.13,-0.265,0.243
"214","  ","  ","b_LogTraitValueSD",0.031,0.427,-0.81,0.858
"215","  ","  ","sigma",0.438,0.044,0.361,0.535
"216","173","Median absolute range shift - SeedMass variation UnlimDispWeight","b_Intercept",-0.125,0.114,-0.347,0.097
"217","  ","  ","b_LogTraitValueSD",0.123,0.088,-0.049,0.293
"218","  ","  ","sigma",0.444,0.064,0.343,0.585
