"","Model number","Model name","Term","Estimate","Std. error","Lower 95% CI","Upper 95% CI"
"70","  ","  ","b_FamilyEmpetraceae",0.193,0.305,-0.4,0.792
"71","  ","  ","b_FamilyEricaceae",0.228,0.173,-0.118,0.565
"72","  ","  ","b_FamilyMyricaceae",0.776,0.307,0.178,1.387
"73","  ","  ","b_FamilyRosaceae",0.12,0.203,-0.272,0.522
"74","  ","  ","b_FamilySalicaceae",0.096,0.169,-0.24,0.424
"75","  ","  ","sigma",0.262,0.036,0.202,0.343
"76","  ","  ","lprior",-3.149,0.002,-3.154,-3.146
"77","130","Relative range changes - functional group","b_Intercept",-0.069,0.083,-0.23,0.095
"78","  ","  ","b_gfLowshrub",0.134,0.164,-0.186,0.459
"79","  ","  ","b_gfTallshrub",0.081,0.111,-0.139,0.304
"80","  ","  ","sigma",0.305,0.04,0.239,0.396
"81","  ","  ","lprior",-3.152,0.003,-3.158,-3.147
"82","131","Relative range changes - dispersal","b_Intercept",0.047,0.103,-0.154,0.248
"83","  ","  ","b_DispersalModeWind",-0.076,0.118,-0.303,0.152
"84","  ","  ","sigma",0.302,0.038,0.24,0.387
"85","  ","  ","lprior",-3.151,0.003,-3.158,-3.147
"86","132","Relative range changes - decidiousness","b_Intercept",-0.013,0.062,-0.136,0.109
"87","  ","  ","b_LeafPhenologyEvergreen",0.01,0.11,-0.21,0.226
"88","  ","  ","sigma",0.304,0.038,0.239,0.391
"89","  ","  ","lprior",-3.151,0.003,-3.158,-3.147
"90","133","Relative range changes - family","b_Intercept",-0.17,0.156,-0.488,0.14
"91","  ","  ","b_FamilyCaprifoliaceae",-0.144,0.316,-0.762,0.489
"92","  ","  ","b_FamilyEmpetraceae",0.179,0.316,-0.444,0.809
"93","  ","  ","b_FamilyEricaceae",0.276,0.177,-0.076,0.636
"94","  ","  ","b_FamilyMyricaceae",0.877,0.317,0.26,1.516
"95","  ","  ","b_FamilyRosaceae",0.113,0.207,-0.28,0.531
"96","  ","  ","b_FamilySalicaceae",0.078,0.173,-0.263,0.426
"97","  ","  ","sigma",0.273,0.038,0.212,0.36
"98","  ","  ","lprior",-3.15,0.002,-3.155,-3.146
"99","134","Cover change slopes - SLA variation","b_Intercept",0.011,0.082,-0.151,0.172
"100","  ","  ","b_LogTraitValueSD",-0.21,0.288,-0.783,0.354
"101","  ","  ","sigma",0.218,0.03,0.17,0.286
"102","  ","  ","lprior",-3.147,0.002,-3.15,-3.144
"103","135","Cover change slopes - Seed Mass variation","b_Intercept",-0.071,0.076,-0.221,0.08
"104","  ","  ","b_LogTraitValueSD",0.019,0.059,-0.098,0.133
"105","  ","  ","sigma",0.262,0.043,0.192,0.364
"106","  ","  ","lprior",-3.149,0.003,-3.157,-3.146
"107","136","Cover change slopes - Height variation","b_Intercept",-0.195,0.128,-0.445,0.061
"108","  ","  ","b_LogTraitValueSD",0.261,0.202,-0.138,0.653
"109","  ","  ","sigma",0.21,0.027,0.164,0.272
"110","  ","  ","lprior",-3.146,0.001,-3.15,-3.144
"111","137","Cover change slopes - all traits variation","b_Intercept",-0.21,0.219,-0.642,0.222
"112","  ","  ","b_Hei_var",0.346,0.288,-0.239,0.927
"113","  ","  ","b_Seed_var",0.072,0.067,-0.06,0.207
"114","  ","  ","b_SLA_var",-0.447,0.461,-1.36,0.467
"115","  ","  ","sigma",0.242,0.04,0.18,0.334
"116","  ","  ","lprior",-3.148,0.002,-3.154,-3.145
"117","138","Cover change slopes - SLA values","b_Intercept",0.02,0.088,-0.155,0.192
"118","  ","  ","b_LogTraitMedianValue",0.022,0.032,-0.042,0.083
"119","  ","  ","sigma",0.214,0.028,0.168,0.278
"120","  ","  ","lprior",-3.146,0.001,-3.15,-3.144
"121","139","Cover change slopes - Seed Mass values","b_Intercept",-0.079,0.07,-0.217,0.059
"122","  ","  ","b_LogTraitMedianValue",-0.014,0.024,-0.06,0.033
"123","  ","  ","sigma",0.26,0.043,0.193,0.358
"124","  ","  ","lprior",-3.149,0.003,-3.156,-3.145
"125","140","Cover change slopes - Height values","b_Intercept",0.021,0.09,-0.152,0.2
"126","  ","  ","b_LogTraitMedianValue",0.023,0.032,-0.039,0.088
"127","  ","  ","sigma",0.215,0.029,0.168,0.278
"128","  ","  ","lprior",-3.147,0.001,-3.15,-3.144
"129","141","Cover change slopes - all traits values","b_Intercept",-0.187,0.367,-0.901,0.538
"130","  ","  ","b_Hei_val",0.024,0.045,-0.064,0.112
"131","  ","  ","b_SeedMass_val",-0.015,0.023,-0.061,0.029
"132","  ","  ","b_SLA_val",0.073,0.136,-0.202,0.341
"133","  ","  ","sigma",0.253,0.04,0.187,0.346
"134","  ","  ","lprior",-3.149,0.003,-3.155,-3.145
"135","142","Current range - PC1+PC2 values","b_Intercept",0.1,0.145,-0.182,0.387
"136","  ","  ","b_PC1",-0.015,0.126,-0.258,0.238
"137","  ","  ","b_PC2",0.167,0.156,-0.141,0.476
"138","  ","  ","sigma",0.861,0.11,0.68,1.11
"139","  ","  ","lprior",-3.223,0.021,-3.273,-3.192
"140","143","Current range - PC1 values","b_Intercept",0.1,0.14,-0.177,0.372
"141","  ","  ","b_PC1",-0.018,0.127,-0.272,0.231
"142","  ","  ","sigma",0.863,0.11,0.68,1.114
"143","  ","  ","lprior",-3.223,0.021,-3.274,-3.192
"144","144","Absolute range change - PC1+PC2 values","b_Intercept",-0.026,0.053,-0.13,0.079
"145","  ","  ","b_PC1",-0.002,0.047,-0.095,0.091
"146","  ","  ","b_PC2",-0.088,0.057,-0.2,0.027
"147","  ","  ","sigma",0.317,0.042,0.25,0.413
"148","  ","  ","lprior",-3.152,0.003,-3.16,-3.148
"149","145","Absolute range change - PC1 values","b_Intercept",-0.026,0.054,-0.132,0.08
"150","  ","  ","b_PC1",-0.001,0.047,-0.093,0.09
"151","  ","  ","sigma",0.324,0.041,0.254,0.416
"152","  ","  ","lprior",-3.153,0.003,-3.16,-3.148
"153","146","Relative range change - PC1+PC2 values","b_Intercept",-0.01,0.051,-0.111,0.091
"154","  ","  ","b_PC1",0.025,0.045,-0.063,0.115
"155","  ","  ","b_PC2",-0.064,0.055,-0.174,0.043
"156","  ","  ","sigma",0.301,0.04,0.237,0.392
"157","  ","  ","lprior",-3.151,0.003,-3.158,-3.147
"158","147","Relative range change - PC1 values","b_Intercept",-0.009,0.05,-0.107,0.087
"159","  ","  ","b_PC1",0.026,0.044,-0.061,0.114
"160","  ","  ","sigma",0.301,0.037,0.239,0.386
"161","  ","  ","lprior",-3.151,0.003,-3.158,-3.147
"162","148","PC1 values - Category","b_Intercept",-0.357,0.304,-0.965,0.236
"163","  ","  ","b_category.absNochange",0.074,0.565,-1.054,1.159
"164","  ","  ","b_category.absWinner",0.824,0.425,-0.016,1.623
"165","  ","  ","sigma",1.155,0.155,0.907,1.508
"166","  ","  ","lprior",-3.289,0.04,-3.385,-3.232
"167","149","PC2 values - Category","b_Intercept",0.311,0.255,-0.189,0.819
"168","  ","  ","b_category.absNochange",-0.389,0.47,-1.35,0.547
"169","  ","  ","b_category.absWinner",-0.586,0.357,-1.282,0.11
"170","  ","  ","sigma",0.984,0.129,0.771,1.277
"171","  ","  ","lprior",-3.251,0.029,-3.32,-3.208
"172","150","Current range - PC1+PC2 variation","b_Intercept",0.099,0.147,-0.185,0.387
"173","  ","  ","b_PC1",-0.021,0.125,-0.264,0.228
"174","  ","  ","b_PC2",-0.019,0.154,-0.321,0.286
"175","  ","  ","sigma",0.876,0.116,0.687,1.144
"176","  ","  ","lprior",-3.226,0.023,-3.281,-3.193
"177","151","Current range - PC1 variation","b_Intercept",0.096,0.145,-0.192,0.384
"178","  ","  ","b_PC1",-0.024,0.125,-0.27,0.218
"179","  ","  ","sigma",0.865,0.11,0.679,1.112
"180","  ","  ","lprior",-3.224,0.021,-3.274,-3.192
"181","152","Absolute range change - PC1+PC2 variation","b_Intercept",-0.024,0.051,-0.123,0.078
"182","  ","  ","b_PC1",0.084,0.043,-0.001,0.166
"183","  ","  ","b_PC2",-0.037,0.055,-0.144,0.072
"184","  ","  ","sigma",0.308,0.041,0.241,0.4
"185","  ","  ","lprior",-3.152,0.003,-3.159,-3.148
"186","153","Absolute range change - PC1 variation","b_Intercept",-0.024,0.051,-0.125,0.075
"187","  ","  ","b_PC1",0.084,0.043,-0.001,0.17
"188","  ","  ","sigma",0.306,0.038,0.241,0.391
"189","  ","  ","lprior",-3.152,0.003,-3.158,-3.148
"190","154","Relative range change - PC1+PC2 variation","b_Intercept",-0.011,0.047,-0.105,0.08
"191","  ","  ","b_PC1",0.074,0.038,-0.001,0.15
"192","  ","  ","b_PC2",-0.1,0.047,-0.192,-0.008
"193","  ","  ","sigma",0.275,0.036,0.216,0.355
"194","  ","  ","lprior",-3.15,0.002,-3.155,-3.146
"195","155","Relative range change - PC1 variation","b_Intercept",-0.01,0.047,-0.104,0.081
"196","  ","  ","b_PC1",0.073,0.04,-0.005,0.153
"197","  ","  ","sigma",0.289,0.036,0.228,0.369
"198","  ","  ","lprior",-3.15,0.002,-3.156,-3.147
"199","156","PC1 variation - Category","b_Intercept",-0.131,0.328,-0.772,0.507
"200","  ","  ","b_category.absNochange",-0.216,0.621,-1.423,1.014
"201","  ","  ","b_category.absWinner",0.389,0.463,-0.498,1.32
"202","  ","  ","sigma",1.274,0.162,1.008,1.637
"203","  ","  ","lprior",-3.315,0.044,-3.419,-3.25
"204","157","PC2 variation - Category","b_Intercept",0.283,0.262,-0.232,0.796
"205","  ","  ","b_category.absNochange",-0.49,0.485,-1.434,0.464
"206","  ","  ","b_category.absWinner",-0.475,0.368,-1.202,0.242
"207","  ","  ","sigma",1.009,0.131,0.794,1.312
"208","  ","  ","lprior",-3.251,0.029,-3.32,-3.209
"209","158","Cover change - PC1+PC2 values","b_Intercept",-0.038,0.046,-0.128,0.049
"210","  ","  ","b_PC1",0.016,0.041,-0.065,0.096
"211","  ","  ","b_PC2",-0.046,0.046,-0.133,0.048
"212","  ","  ","sigma",0.238,0.036,0.18,0.32
"213","  ","  ","lprior",-3.148,0.002,-3.153,-3.145
"214","159","PC1 values - Cover Category","b_Intercept",-0.417,0.46,-1.345,0.472
"215","  ","  ","b_CoverCategory.xNochange",0.477,0.567,-0.639,1.588
"216","  ","  ","b_CoverCategory.xWinner",0.653,0.608,-0.543,1.89
"217","  ","  ","sigma",1.189,0.175,0.909,1.603
"218","  ","  ","lprior",-3.295,0.046,-3.408,-3.23
"219","160","PC2 values - Cover Category","b_Intercept",-0.274,0.4,-1.071,0.525
"220","  ","  ","b_CoverCategory.xNochange",0.539,0.495,-0.45,1.53
"221","  ","  ","b_CoverCategory.xWinner",0.11,0.536,-0.951,1.164
"222","  ","  ","sigma",1.048,0.153,0.797,1.397
"223","  ","  ","lprior",-3.27,0.037,-3.358,-3.216
"224","161","Cover change - PC1+PC2 variation","b_Intercept",-0.038,0.044,-0.125,0.049
"225","  ","  ","b_PC1",-0.021,0.035,-0.089,0.049
"226","  ","  ","b_PC2",-0.057,0.048,-0.152,0.04
"227","  ","  ","sigma",0.234,0.034,0.178,0.31
"228","  ","  ","lprior",-3.148,0.002,-3.152,-3.145
"229","162","PC1 variation - Cover Category","b_Intercept",0.701,0.509,-0.307,1.723
"230","  ","  ","b_CoverCategory.xNochange",-0.926,0.632,-2.19,0.328
"231","  ","  ","b_CoverCategory.xWinner",-0.932,0.673,-2.295,0.379
"232","  ","  ","sigma",1.328,0.19,1.014,1.767
"233","  ","  ","lprior",-3.331,0.054,-3.462,-3.253
"234","163","PC2 variation - Cover Category","b_Intercept",0.161,0.387,-0.623,0.907
"235","  ","  ","b_CoverCategory.xNochange",-0.149,0.478,-1.09,0.802
"236","  ","  ","b_CoverCategory.xWinner",-0.306,0.522,-1.337,0.747
"237","  ","  ","sigma",1.014,0.147,0.772,1.345
"238","164","Median absolute range shift - Seed variation LimDisp","b_Intercept",-0.054,0.076,-0.204,0.099
"239","  ","  ","b_LogTraitMedianValue",-0.019,0.028,-0.075,0.036
"240","  ","  ","sigma",0.331,0.048,0.252,0.441
"241","  ","  ","lprior",-3.154,0.004,-3.164,-3.149
"242","165","Median absolute range shift - Seed variation UnlimDisp","b_Intercept",-0.096,0.103,-0.3,0.108
"243","  ","  ","b_LogTraitMedianValue",-0.019,0.04,-0.099,0.06
"244","  ","  ","sigma",0.465,0.069,0.354,0.627
"245","  ","  ","lprior",-3.167,0.008,-3.186,-3.156
"246","166","Median absolute range shift - Height variation LimDisp","b_Intercept",0.094,0.082,-0.062,0.251
"247","  ","  ","b_LogTraitMedianValue",0.038,0.034,-0.028,0.104
"248","  ","  ","sigma",0.318,0.033,0.262,0.391
"249","  ","  ","lprior",-3.152,0.002,-3.158,-3.149
"250","167","Median absolute range shift - Height variation UnlimDisp","b_Intercept",0.066,0.115,-0.159,0.293
"251","  ","  ","b_LogTraitMedianValue",0.021,0.048,-0.075,0.115
"252","  ","  ","sigma",0.446,0.046,0.367,0.548
"253","  ","  ","lprior",-3.164,0.005,-3.174,-3.156
"254","168","Median absolute range shift - Height values UnlimDispWeight","b_Intercept",0.047,0.127,-0.2,0.293
"255","  ","  ","b_LogTraitMedianValue",0.011,0.051,-0.09,0.11
"256","  ","  ","sigma",0.454,0.049,0.372,0.559
"257","  ","  ","lprior",-3.164,0.005,-3.176,-3.157
"258","169","Median absolute range shift - SLA values UnlimDispWeight","b_Intercept",0.097,0.357,-0.593,0.804
"259","  ","  ","b_LogTraitMedianValue",-0.035,0.144,-0.325,0.246
"260","  ","  ","sigma",0.439,0.044,0.36,0.534
"261","  ","  ","lprior",-3.164,0.005,-3.174,-3.156
"262","170","Median absolute range shift - SeedMass values UnlimDispWeight","b_Intercept",-0.057,0.107,-0.269,0.149
"263","  ","  ","b_LogTraitMedianValue",-0.021,0.041,-0.102,0.057
"264","  ","  ","sigma",0.46,0.067,0.353,0.609
"265","  ","  ","lprior",-3.165,0.007,-3.183,-3.155
"266","171","Median absolute range shift - Height variation UnlimDispWeight","b_Intercept",-0.14,0.212,-0.556,0.286
"267","  ","  ","b_LogTraitValueSD",0.282,0.347,-0.404,0.95
"268","  ","  ","sigma",0.452,0.049,0.367,0.561
"269","  ","  ","lprior",-3.164,0.005,-3.176,-3.156
"270","172","Median absolute range shift - SLA variation UnlimDispWeight","b_Intercept",-0.034,0.132,-0.294,0.221
"271","  ","  ","b_LogTraitValueSD",0.171,0.443,-0.694,1.048
"272","  ","  ","sigma",0.44,0.045,0.361,0.538
"273","  ","  ","lprior",-3.164,0.005,-3.174,-3.156
"274","173","Median absolute range shift - SeedMass variation UnlimDispWeight","b_Intercept",-0.128,0.111,-0.342,0.094
"275","  ","  ","b_LogTraitValueSD",0.122,0.089,-0.051,0.3
"276","  ","  ","sigma",0.445,0.063,0.342,0.587
"277","  ","  ","lprior",-3.164,0.007,-3.18,-3.154
