"","Model number","Model name","Term","Estimate","Std. error","Lower 95% CI","Upper 95% CI"
"1","116","Relative range gains - SLA values","b_Intercept",0.611,0.222,0.171,1.047
"2","  ","  ","b_LogTraitMedianValue",-0.153,0.089,-0.328,0.024
"3","  ","  ","sigma",0.206,0.03,0.157,0.274
"4","  ","  ","lprior",-3.146,0.001,-3.15,-3.144
"5","117","Relative range losses - SLA values","b_Intercept",-0.241,0.245,-0.723,0.253
"6","  ","  ","b_LogTraitMedianValue",0.008,0.1,-0.191,0.205
"7","  ","  ","sigma",0.2,0.032,0.148,0.274
"8","  ","  ","lprior",-3.146,0.002,-3.15,-3.144
"9","118","Relative range gains - Seed Mass values","b_Intercept",0.171,0.077,0.021,0.325
"10","  ","  ","b_LogTraitMedianValue",-0.018,0.024,-0.067,0.028
"11","  ","  ","sigma",0.245,0.06,0.16,0.386
"12","  ","  ","lprior",-3.149,0.004,-3.16,-3.145
"13","119","Relative range losses - Seed Mass values","b_Intercept",-0.251,0.082,-0.413,-0.088
"14","  ","  ","b_LogTraitMedianValue",-0.025,0.04,-0.104,0.054
"15","  ","  ","sigma",0.196,0.044,0.132,0.305
"16","  ","  ","lprior",-3.146,0.002,-3.152,-3.143
"17","120","Relative range gains - Height values","b_Intercept",0.2,0.074,0.055,0.342
"18","  ","  ","b_LogTraitMedianValue",-0.016,0.031,-0.078,0.046
"19","  ","  ","sigma",0.217,0.035,0.161,0.293
"20","  ","  ","lprior",-3.147,0.002,-3.151,-3.144
"21","121","Relative range losses - Height values","b_Intercept",-0.434,0.102,-0.635,-0.231
"22","  ","  ","b_LogTraitMedianValue",-0.078,0.039,-0.157,-0.001
"23","  ","  ","sigma",0.203,0.034,0.15,0.285
"24","  ","  ","lprior",-3.146,0.002,-3.151,-3.144
"25","122","Median relative range gains - all traits values","b_Intercept",0.407,0.521,-0.648,1.442
"26","  ","  ","b_Hei_val",0.017,0.048,-0.079,0.113
"27","  ","  ","b_Seed_val",-0.013,0.026,-0.065,0.038
"28","  ","  ","b_SLA_val",-0.082,0.192,-0.465,0.3
"29","  ","  ","sigma",0.247,0.061,0.16,0.398
"30","  ","  ","lprior",-3.149,0.004,-3.159,-3.144
"31","123","Median relative range gains - all traits values interaction","b_Intercept",1.62,1.432,-1.274,4.568
"32","  ","  ","b_Hei_val",0.629,0.541,-0.481,1.718
"33","  ","  ","b_Seed_val",-0.1,0.244,-0.583,0.377
"34","  ","  ","b_SLA_val",-0.521,0.546,-1.634,0.583
"35","  ","  ","b_Hei_val:Seed_val",0.023,0.054,-0.085,0.129
"36","  ","  ","b_Seed_val:SLA_val",0.077,0.084,-0.091,0.245
"37","  ","  ","b_Hei_val:SLA_val",-0.238,0.211,-0.659,0.201
"38","  ","  ","sigma",0.253,0.075,0.153,0.439
"39","  ","  ","lprior",-3.149,0.006,-3.163,-3.144
"40","124","Median relative range losses - all traits values","b_Intercept",-0.566,0.368,-1.273,0.157
"41","  ","  ","b_Hei_val",-0.026,0.054,-0.132,0.081
"42","  ","  ","b_Seed_val",-0.029,0.044,-0.118,0.058
"43","  ","  ","b_SLA_val",0.101,0.148,-0.19,0.392
"44","  ","  ","sigma",0.207,0.049,0.137,0.326
"45","  ","  ","lprior",-3.146,0.003,-3.153,-3.143
"46","125","Median relative range losses - all traits values interaction","b_Intercept",-4.376,1.916,-8.231,-0.568
"47","  ","  ","b_Hei_val",-1.552,0.807,-3.156,0.058
"48","  ","  ","b_Seed_val",0.305,0.267,-0.23,0.836
"49","  ","  ","b_SLA_val",1.649,0.819,0.019,3.258
"50","  ","  ","b_Hei_val:Seed_val",-0.032,0.107,-0.254,0.176
"51","  ","  ","b_Seed_val:SLA_val",-0.147,0.111,-0.371,0.072
"52","  ","  ","b_Hei_val:SLA_val",0.599,0.295,0.016,1.174
"53","  ","  ","sigma",0.192,0.054,0.118,0.329
"54","  ","  ","lprior",-3.146,0.003,-3.153,-3.143
"55","126","Absolute range changes - functional group","b_Intercept",-0.119,0.088,-0.295,0.051
"56","  ","  ","b_gfLowshrub",0.207,0.168,-0.119,0.544
"57","  ","  ","b_gfTallshrub",0.131,0.115,-0.096,0.359
"58","  ","  ","sigma",0.319,0.041,0.25,0.409
"59","  ","  ","lprior",-3.153,0.003,-3.16,-3.148
"60","127","Absolute range changes - dispersal","b_Intercept",0.014,0.106,-0.195,0.224
"61","  ","  ","b_DispersalModeWind",-0.053,0.124,-0.294,0.195
"62","  ","  ","sigma",0.323,0.041,0.255,0.413
"63","  ","  ","lprior",-3.153,0.003,-3.16,-3.148
"64","128","Absolute range changes - decidiousness","b_Intercept",-0.002,0.066,-0.136,0.127
"65","  ","  ","b_LeafPhenologyEvergreen",-0.069,0.117,-0.298,0.166
"66","  ","  ","sigma",0.321,0.04,0.254,0.412
"67","  ","  ","lprior",-3.153,0.003,-3.16,-3.148
"68","129","Absolute range changes - family","b_Intercept",-0.156,0.154,-0.458,0.146
"69","  ","  ","b_FamilyCaprifoliaceae",-0.808,0.306,-1.418,-0.208
