"","Model number","Model name","Term","Estimate","Std. error","Lower 95% CI","Upper 95% CI"
"1","1","Current ranges - SLA variation","b_Intercept",0.145,0.256,-0.368,0.654
"2","  ","  ","b_LogTraitValueSD",-0.115,0.836,-1.766,1.513
"3","  ","  ","sigma",0.86,0.086,0.713,1.049
"4","2","Current ranges - Seed variation Berry Sp","b_Intercept",0.611,0.521,-0.425,1.654
"5","  ","  ","b_LogTraitValueSD",-0.091,0.533,-1.134,0.997
"6","  ","  ","sigma",1.123,0.395,0.634,2.114
"7","3","Current ranges - Seed variation Wind Sp","b_Intercept",-0.127,0.235,-0.583,0.342
"8","  ","  ","b_LogTraitValueSD",0.067,0.174,-0.288,0.408
"9","  ","  ","sigma",0.746,0.131,0.539,1.061
"10","4","Current ranges - Seed variation No Gapfilled","b_Intercept",0.301,0.177,-0.062,0.642
"11","  ","  ","b_LogTraitValueSD",-0.013,0.134,-0.277,0.256
"12","  ","  ","sigma",0.654,0.111,0.478,0.916
"13","5","Current ranges - Seed Mass variation","b_Intercept",0.134,0.213,-0.28,0.562
"14","  ","  ","b_LogTraitValueSD",-0.023,0.169,-0.347,0.31
"15","  ","  ","sigma",0.832,0.12,0.633,1.102
"16","6","Current ranges - Height variation","b_Intercept",-0.335,0.383,-1.089,0.441
"17","  ","  ","b_LogTraitValueSD",0.703,0.635,-0.545,1.962
"18","  ","  ","sigma",0.856,0.09,0.702,1.047
"19","7","Current ranges - all traits variation","b_Intercept",0.076,0.615,-1.134,1.279
"20","  ","  ","b_Hei_var",-0.047,0.853,-1.725,1.616
"21","  ","  ","b_Seed_var",-0.061,0.193,-0.436,0.324
"22","  ","  ","b_SLA_var",0.336,1.21,-2.082,2.718
"23","  ","  ","sigma",0.863,0.115,0.669,1.124
"24","8","Current ranges - all traits variation interaction","b_Intercept",-0.268,1.733,-3.661,3.107
"25","  ","  ","b_Hei_var",1.191,2.829,-4.23,6.853
"26","  ","  ","b_Seed_var",-1.754,1.479,-4.669,1.225
"27","  ","  ","b_SLA_var",8.073,6.757,-5.33,21.142
"28","  ","  ","b_Hei_var:Seed_var",2.314,2.263,-2.155,6.749
"29","  ","  ","b_Hei_var:SLA_var",-14.716,11.197,-36.482,7.058
"30","  ","  ","b_Seed_var:SLA_var",0.677,0.981,-1.259,2.62
"31","  ","  ","sigma",0.858,0.121,0.663,1.132
"32","9","Current ranges - SLA values","b_Intercept",0.362,0.693,-0.994,1.745
"33","  ","  ","b_LogTraitMedianValue",-0.102,0.28,-0.667,0.458
"34","  ","  ","sigma",0.862,0.088,0.71,1.054
"35","10","Current ranges - Seed values No Gapfilled","b_Intercept",0.38,0.154,0.072,0.681
"36","  ","  ","b_LogTraitMedianValue",0.058,0.054,-0.049,0.164
"37","  ","  ","sigma",0.633,0.105,0.466,0.88
"38","11","Current ranges - Seed values Berry Sp","b_Intercept",0.571,0.405,-0.249,1.399
"39","  ","  ","b_LogTraitMedianValue",0.008,0.303,-0.604,0.614
"40","  ","  ","sigma",1.119,0.374,0.63,2.087
"41","12","Current ranges - Seed values Wind Sp","b_Intercept",-0.066,0.234,-0.541,0.405
"42","  ","  ","b_LogTraitMedianValue",0,0.078,-0.158,0.153
"43","  ","  ","sigma",0.751,0.136,0.54,1.078
"44","13","Current ranges - Seed Mass values","b_Intercept",0.205,0.189,-0.167,0.58
"45","  ","  ","b_LogTraitMedianValue",0.057,0.071,-0.083,0.197
"46","  ","  ","sigma",0.821,0.12,0.63,1.094
"47","14","Current ranges - Height values","b_Intercept",-0.007,0.239,-0.479,0.461
"48","  ","  ","b_LogTraitMedianValue",-0.036,0.098,-0.222,0.156
"49","  ","  ","sigma",0.867,0.093,0.709,1.076
"50","15","Current ranges - all traits values","b_Intercept",0.915,1.082,-1.236,3.042
"51","  ","  ","b_SLA_val",-0.359,0.41,-1.163,0.436
"52","  ","  ","b_Hei_val",-0.066,0.122,-0.306,0.175
"53","  ","  ","b_SeedMass_val",0.086,0.076,-0.064,0.238
"54","  ","  ","sigma",0.838,0.112,0.656,1.088
"55","16","Current ranges - all traits values interaction","b_Intercept",-0.859,2.95,-6.558,4.979
"56","  ","  ","b_SLA_val",0.388,1.131,-1.845,2.566
"57","  ","  ","b_Hei_val",-0.543,1.18,-2.818,1.795
"58","  ","  ","b_SeedMass_val",-0.577,0.489,-1.533,0.391
"59","  ","  ","b_SLA_val:Hei_val",0.171,0.446,-0.72,1.023
"60","  ","  ","b_SLA_val:SeedMass_val",0.287,0.201,-0.109,0.684
"61","  ","  ","b_Hei_val:SeedMass_val",-0.053,0.121,-0.29,0.184
"62","  ","  ","sigma",0.843,0.124,0.643,1.124
"63","17","Height/SLA correlation","b_Intercept",2.492,0.112,2.268,2.713
