,sp,gf,rel.quan25,rel.median,rel.quan75,abs.quan25,abs.median,abs.quan75,future.med,rel.quan25.log,rel.median.log,rel.quan75.log,abs.quan25.log,abs.median.log,abs.quan75.log,CentredRangeLog,cent.rel.quan25.log,cent.rel.median.log,cent.rel.quan75.log,cent.abs.quan25.log,cent.abs.median.log,cent.abs.quan75.log,AbsoluteRangeChangeKm
22,Dryas octopetala,Dwarf shrub,1.98471,1.993035,1.99735,12.381875,12.46305,12.505125,9684750,0.685472808,0.689658603,0.691821302,2.51623371,2.522768267,2.52613856,0.561214578,0.02214691,-0.029918223,-0.082115066,0.001718175,-0.054647171,-0.106079424,-42700
23,Empetrum nigrum,Low shrub,1.8836025,2.0637,2.238935,10.685225,13.54115,16.319825,16867450,0.633186167,0.724500488,0.806000306,2.368861946,2.605733197,2.792380626,1.04730037,-0.030139731,0.004923662,0.032063938,-0.145653589,0.028317759,0.160162642,1623900
24,Harrimanella hypnoides,Dwarf shrub,3.48973,3.562445,3.6039675,16.35395,16.54055,16.6471,6575750,1.249824369,1.270447107,1.282035322,2.794469458,2.805814942,2.812236027,-0.773903386,0.586498471,0.550870281,0.508098953,0.279953923,0.228399504,0.180018043,3566300
25,Loiseleuria procumbens,Dwarf shrub,1.51188,1.70984,1.8340575,9.575875,10.77435,11.52635,4297450,0.41335391,0.536399799,0.606530726,2.259246915,2.377168309,2.444635719,0.084406137,-0.249971988,-0.183177027,-0.167405643,-0.25526862,-0.200247129,-0.187582265,-1758000
26,Linnaea borealis,Dwarf shrub,1.3944475,1.498405,1.641415,3.464425,5.02095,7.1621,7462350,0.332498279,0.404401209,0.495558675,1.242546674,1.613619159,1.968803234,0.989878915,-0.330827618,-0.315175617,-0.278377694,-1.271968861,-0.963796279,-0.66341475,-7324000
27,Myrica gale,Tall shrub,4.0188175,4.17677,4.329445,23.647625,24.5174,25.3581,17492900,1.390987705,1.429538221,1.465439358,3.163262687,3.19938307,3.233098206,-0.010400379,0.727661807,0.709961395,0.69150299,0.648747152,0.621967631,0.600880222,11737400
28,Vaccinium oxycoccos,Dwarf shrub,1.681635,1.90587,2.2338275,10.190425,11.83895,14.250075,6659850,0.519766534,0.644938597,0.803716482,2.321448554,2.471394943,2.65676217,0.278629192,-0.143559363,-0.074638229,0.029780113,-0.193066981,-0.106020495,0.024544186,-320400
29,Phyllodoce caerulea,Dwarf shrub,3.543575,3.650955,3.8583075,23.6097,24.3804,25.86865,19026700,1.265136105,1.294988777,1.350228616,3.161657645,3.193779531,3.253031811,0.254593676,0.601810207,0.575411951,0.576292247,0.64714211,0.616364093,0.620813827,9196100
30,Rhododendron lapponicum,Tall shrub,3.1933775,3.325375,3.4921025,22.4826,23.5833,24.973625,19391300,1.161079134,1.20158245,1.25050399,3.112741677,3.160538834,3.217820268,0.404613713,0.497753236,0.482005624,0.476567622,0.598226142,0.583123396,0.585602284,12070000
31,Rhododendron tomentosum,Tall shrub,3.0856675,3.104895,3.123015,27.803725,28.07425,28.329075,29610850,1.126768003,1.132979898,1.138798881,3.325170005,3.334852786,3.343888662,0.927544689,0.463442106,0.413403072,0.364862513,0.81065447,0.757437348,0.711670678,15439800
32,Ribes spicatum,Tall shrub,2.55935,2.584415,2.612215,19.29115,19.5941,19.930125,19148900,0.93975332,0.949499177,0.96019852,2.959646442,2.975228501,2.992232406,0.775701618,0.276427422,0.229922351,0.186262152,0.445130907,0.397813062,0.360014422,7047600
33,Rosa acicularis,Tall shrub,2.151485,2.207755,2.2914875,14.822275,15.6734,16.939925,18267900,0.766158301,0.791976162,0.82920117,2.696131117,2.751965008,2.829673262,1.00005247,0.102832404,0.072399336,0.055264802,0.181615582,0.17454957,0.197455278,4746100
34,Rosa majalis,Tall shrub,2.377075,2.37914,2.38041,15.825675,15.8437,15.854825,12050100,0.86587074,0.866739078,0.867272742,2.761633621,2.762771945,2.76347387,0.451283071,0.202544842,0.147162252,0.093336373,0.247118086,0.185356507,0.131255886,3266200
35,Rubus chamaemorus,Dwarf shrub,2.172075,2.179495,2.1855175,15.520125,15.64905,15.7537,20489250,0.775682932,0.779093199,0.781852643,2.742137569,2.750410212,2.757075258,1.138484071,0.112357034,0.059516373,0.007916274,0.227622034,0.172994774,0.124857274,3227200
36,Rubus idaeus,Tall shrub,2.075795,2.15604,2.2171075,13.468725,14.4615,15.21705,14302400,0.730344213,0.768273206,0.796203418,2.600370331,2.671489946,2.72241651,0.79909818,0.067018315,0.04869638,0.02226705,0.085854796,0.094074508,0.090198526,1643000
37,Salix arctica,Dwarf shrub,1.5332875,1.616535,1.71515,10.1331,10.5608,11.067475,3167700,0.427414123,0.48028497,0.53950054,2.315807293,2.357149033,2.404010627,-0.079685156,-0.235911775,-0.239291856,-0.234435828,-0.198708242,-0.220266405,-0.228207357,-2296000
38,Salix argyrocarpa,Tall shrub,1.056645,1.091365,1.261485,11.991025,12.0109,12.108275,52300,0.055098794,0.087429206,0.232289598,2.484158453,2.485814571,2.493889103,-2.274246823,-0.608227104,-0.63214762,-0.54164677,-0.030357082,-0.091600867,-0.138328881,-443900
39,Salix barrattiana,Tall shrub,2.19328,2.3548,2.3863425,12.96015,13.3188,13.388825,3008200,0.78539814,0.856455798,0.869761859,2.561879265,2.589176571,2.594420404,-0.918642232,0.122072242,0.136878972,0.095825491,0.04736373,0.011761133,-0.03779758,854400
40,Salix glauca,Tall shrub,1.700015,1.897875,2.007095,10.88305,11.97,12.569975,4932400,0.530637075,0.640734839,0.696688403,2.387206533,2.48240352,2.531311034,-0.01278222,-0.132688823,-0.078841987,-0.077247965,-0.127309002,-0.095011919,-0.10090695,-654200
41,Salix hastata,Tall shrub,2.408145,2.44316,2.4544525,15.597925,15.86105,15.9459,10844350,0.878856742,0.893292283,0.897903722,2.747137893,2.763866418,2.769201743,0.30047828,0.215530844,0.173715457,0.123967354,0.232622358,0.18645098,0.136983759,3381400
42,Salix herbacea,Dwarf shrub,1.7300575,1.85663,1.99944,11.3677,11.91315,12.528575,3691550,0.548154645,0.618763016,0.692867141,2.430776001,2.477642832,2.528012035,-0.255530908,-0.115171253,-0.100813809,-0.081069227,-0.083739534,-0.099772606,-0.104205949,-730200
43,Salix lanata,Low shrub,2.349205,2.34965,2.35023,14.278925,14.28115,14.2841,6755650,0.854076973,0.854266381,0.854513196,2.658784674,2.658940486,2.659147031,-0.105792284,0.190751075,0.134689555,0.080576827,0.144269139,0.081525048,0.026929047,1752000
44,Salix lapponum,Tall shrub,2.0792075,2.089625,2.0902425,13.009625,13.07255,13.076275,6583950,0.731986811,0.736984624,0.737280088,2.565689468,2.570514612,2.57079952,0.082471692,0.068660914,0.017407798,-0.036656281,0.051173933,-0.006900826,-0.061418464,535000
45,Salix myrsinites,Low shrub,2.1674775,2.169995,2.17108,13.12925,13.13825,13.142125,4179450,0.773564049,0.774724863,0.77522474,2.574842566,2.575527823,2.57582272,-0.443147939,0.110238151,0.055148038,0.001288371,0.060327031,-0.001887615,-0.056395264,612700
46,Salix niphoclada,Tall shrub,2.5000375,2.50194,2.5027275,13.73155,13.7361,13.738,3606000,0.916305732,0.917066431,0.917381137,2.619696105,2.620027404,2.620165716,-0.840485925,0.252979834,0.197489605,0.143444769,0.10518057,0.042611966,-0.012052268,1208400
47,Salix phlebophylla,Dwarf shrub,2.1048225,2.105635,2.1060475,12.8071,12.80925,12.810325,2912250,0.744231141,0.744617084,0.744812968,2.549999705,2.550167566,2.550251486,-0.747825988,0.080905243,0.025040258,-0.0291234,0.03548417,-0.027247872,-0.081966498,278600
48,Salix phylicifolia,Tall shrub,2.40673,2.411555,2.4133975,16.003725,16.0449,16.06065,12052000,0.87826898,0.880271768,0.881035506,2.772821508,2.775391042,2.776372181,0.428208909,0.214943082,0.160694942,0.107099137,0.258305973,0.197975604,0.144154197,3369400
49,Salix polaris,Dwarf shrub,1.389965,1.572545,1.7238775,9.5824,10.4649,11.19635,2767400,0.329278567,0.452695326,0.544576114,2.259928083,2.3480268,2.415587832,-0.140758749,-0.334047331,-0.2668815,-0.229360254,-0.254587452,-0.229388638,-0.216630152,-2098600
50,Salix pulchra,Tall shrub,1.3233475,1.498585,1.6111425,8.772075,9.74555,10.370825,2769750,0.280164511,0.40452133,0.476943555,2.17157338,2.276810771,2.338996575,-0.001595166,-0.383161387,-0.315055496,-0.296992814,-0.342942155,-0.300604668,-0.293221408,-2786300
51,Salix reticulata,Dwarf shrub,1.7123825,1.85481,1.94702,9.537175,11.01975,11.979525,8897750,0.537885676,0.617782265,0.666299999,2.25519732,2.399689117,2.483198942,0.626341225,-0.125440222,-0.101794561,-0.10763637,-0.259318215,-0.177726321,-0.149019041,-1367600
52,Salix rosmarinifolia,Tall shrub,1.224845,1.28565,1.4024325,8.3953,8.71975,9.3428,1524050,0.202814305,0.251264427,0.338208229,2.127672025,2.165590568,2.234605993,-0.041984476,-0.460511592,-0.468312399,-0.43572814,-0.38684351,-0.41182487,-0.397611991,-3487200
53,Salix vestita,Tall shrub,1,1,1,12.1677,12.1677,12.1677,0,0,0,0,2.4987849,2.4987849,2.4987849,-2.728855931,-0.663325898,-0.719576826,-0.773936368,-0.015730635,-0.078630538,-0.133433084,-363300
54,Sibbaldia procumbens,Dwarf shrub,2.6057825,2.674995,2.741515,18.1987,18.84625,19.4686,15671250,0.957733014,0.983947511,1.008510687,2.901350163,2.936313955,2.968802911,0.519688257,0.294407116,0.264370685,0.234574319,0.386834628,0.358898517,0.336584927,5113400
55,Thymus praecox,Dwarf shrub,1.52323,1.79249,1.9216925,11.962925,12.28375,12.4377,944250,0.42083308,0.583605715,0.653206308,2.481812284,2.508277251,2.520732183,-1.541116574,-0.242492818,-0.135971111,-0.12073006,-0.032703251,-0.069138187,-0.111485801,-170900
56,Thymus serpyllum,Dwarf shrub,1.1014825,1.306695,1.582065,10.1767,10.7144,11.435925,803600,0.096657,0.267501049,0.458730956,2.320100794,2.371588631,2.436759716,-0.753078941,-0.566668898,-0.452075777,-0.315205413,-0.194414741,-0.205826807,-0.195458268,-1745000
57,Vaccinium caespitosum,Low shrub,1.50527,1.56297,1.5936625,11.060225,11.23175,11.323,1673650,0.408972284,0.446587857,0.466034826,2.403355339,2.418744589,2.426836055,-0.626791684,-0.254353614,-0.272988968,-0.307901542,-0.111160196,-0.158670849,-0.205381929,-1212700
58,Vaccinium myrtilloides,Tall shrub,2.2192175,2.699005,3.24525,12.654375,12.9244,13.231825,956200,0.797154656,0.992883187,1.177192389,2.538003005,2.559116998,2.582624913,-2.291160545,0.133828758,0.273306361,0.40325602,0.02348747,-0.018298441,-0.049593071,159000
59,Vaccinium myrtillus,Low shrub,2.3137425,2.38388,2.437225,14.942925,15.4821,15.892175,10638700,0.838866343,0.868729412,0.890860097,2.704237944,2.739684518,2.76582685,0.32327905,0.175540446,0.149152586,0.116923729,0.189722409,0.16226908,0.133608866,2992900
60,Vaccinium uliginosum,Low shrub,1.75658,1.94197,2.050325,7.813225,11.4063,13.506375,18256300,0.563368737,0.663702922,0.717998317,2.055817811,2.434165834,2.603161796,1.247963613,-0.099957161,-0.055873904,-0.055938051,-0.458697724,-0.143249604,-0.029056188,454800
61,Vaccinium vitis-idaea,Dwarf shrub,1.9284975,2.030915,2.111935,11.093325,13.1526,14.78165,20729000,0.656741202,0.70848643,0.747604589,2.406343576,2.576619458,2.693386547,1.284758315,-0.006584696,-0.011090395,-0.02633178,-0.108171959,-0.00079598,0.061168563,1842500
62,Salix rotundifolia,Dwarf shrub,1.6662025,1.69642,1.780125,11.6157,11.69855,11.928075,1909650,0.510547085,0.528520148,0.576683587,2.452357631,2.459464902,2.478894865,-0.707605541,-0.152778813,-0.191056678,-0.197252782,-0.062157904,-0.117950536,-0.153323119,-856400
