"","sp","TraitShort","NumbRecords","NumbSites","MTV","LogMTV","SD","LogSD","COV","LogCOV","LogCOVnew","SampleNumbRecords","SampleNumbSites","SampleMTV","LogSampleMTV","SampleSD","LogSampleSD","SampleCOV","SampleLogCOV","SampleLogCOVnew"
"23","Phyllodoce caerulea","PlantHeight",197,39,0.05,-2.99573227355399,0.0366517666469501,0.54455334867606,0.59800218891928,-0.185196638687162,-0.514160864638071,5,4,0.079,-2.53830742651512,0.0346523880850945,0.684816552246735,0.523133878096234,-0.238519182874,-0.647917866611232
"24","Rhododendron lapponicum","PlantHeight",35,6,0.064,-2.74887219562247,0.0629112753918451,0.55829884280277,0.694166027337509,-0.216935222238428,-0.365044114612062,5,2,0.068,-2.68824757380603,0.0614654374425172,0.519778922034987,0.633664303531105,-0.211533497695043,-0.456235954472656
"25","Rhododendron tomentosum","PlantHeight",895,50,0.11,-2.20727491318972,0.151611909714195,0.804159485839451,0.855252550733054,-0.390288647851481,-0.156358472687416,5,5,0.09,-2.40794560865187,0.171668284782018,0.950673974698848,0.867011539303121,-0.483068521659125,-0.142702992828665
"26","Ribes nigrum","PlantHeight",12,6,1.75,0.549306144334055,0.48889175848561,0.363184204084992,0.307157125750121,0.884199256864102,-1.18039585206416,5,3,2,0.693147180559945,0.606630035524124,0.447767696590718,0.388865407387259,1.20607709245681,-0.944521991668049
"27","Ribes spicatum","PlantHeight",7,4,1,0,0.43915503282684,0.347498652090468,0.384260653723485,4.43524932900287,-0.95643417092701,5,4,1.3,0.262364264467491,0.454972526643093,0.342789169770094,0.355447286439916,1.72302245861351,-1.03437832078991
"28","Rubus chamaemorus","PlantHeight",27,8,0.075,-2.59026716544583,0.0527227873664918,0.72983285741498,0.637775653626917,-0.269075232395237,-0.449768697560421,5,4,0.075,-2.59026716544583,0.0673052746818554,0.831106539915573,0.756239041369161,-0.311670771157805,-0.2793977604936
"29","Rubus idaeus","PlantHeight",38,11,0.835,-0.181202809323859,0.502829858897199,0.658332380235198,0.530190478040278,-2.89674558510904,-0.634518944473169,5,4,1,0,0.331720062703479,0.445168772320701,0.37448641081901,-2.32244387097887,-0.982199762880793
"30","Salix arctica","PlantHeight",555,43,0.03,-3.50655789731998,0.034267111590296,0.685432620817069,0.887956248604644,-0.195141015558777,-0.118832806793118,5,5,0.03,-3.50655789731998,0.0353553390593274,0.852002279819681,0.883883476483185,-0.242801933513045,-0.123430038965763
"31","Salix argyrocarpa","PlantHeight",25,1,0.51,-0.673344553263766,0.102097992144802,0.24306176863257,0.214311486450046,-0.316704214621298,-1.5403247780788,5,1,0.54,-0.616186139423817,0.037815340802378,0.0690373809984754,0.0692588659384213,-0.113726576822184,-2.66990411411793
"32","Salix barrattiana","PlantHeight",19,9,0.2,-1.6094379124341,0.221668315519524,0.580381843479641,0.803759159326518,-0.393621750341349,-0.218455607754626,5,3,0.2,-1.6094379124341,0.0447213595499958,0.309984842828872,0.248451997499977,-0.177330034272818,-1.39250562111917
"33","Salix glauca","PlantHeight",262,116,0.435,-0.83247531118218,0.270245786198471,0.628085761935509,0.563895383066664,-0.690436861773456,-0.572886535706218,5,5,0.76,-0.27443684570176,0.330045451415407,0.446267349689953,0.414629964089708,-1.46784778670331,-0.880368809306138
"34","Salix hastata","PlantHeight",27,4,1.3,0.262364264467491,0.60291480974203,1.04602608435217,0.539744690418926,-4.69516522534624,-0.616659046747368,5,2,1,0,0.654728951551709,0.967220609306175,0.610754618984803,-4.92633904191987,-0.493060006065185
"35","Salix herbacea","PlantHeight",260,35,0.019,-3.9633162998157,0.0126090744756607,0.553033480588639,0.605265372511593,-0.137315473600304,-0.502088284871733,5,2,0.018,-4.01738352108597,0.0133865604245452,0.62125080591203,0.63144152945968,-0.154944952843647,-0.459749931407552
